State,,Region,,State Label,,Institutions,, Fortune 500 Companies
Alabama,,South,,AL,,129,,1
Alaska,,West,,AK,,35,,0
Arizona,,West,,AZ,,155,,6
Arkansas,,South,,AR,,108,,6
California,,West,,CA,,1246,,49
Colorado,,West,,CO,,171,,10
Connecticut,,Northeast,,CT,,114,,16
Delaware,,South,,DE,,23,,1
Florida,,South,,FL,,-439,,18
Georgia,,South,,GA,,210,,17
Hawaii,,West,,HI,,43,,0
Idaho,,West,,ID,,33,,2
Illinois,,Midwest,,IL,,391,,37
Indiana,,Midwest,,IN,,175,,8
Iowa,,Midwest,,IA,,107,,3
Kansas,,Midwest,,KS,,99,,2
Kentucky,,South,,KY,,165,,3
Louisiana,,South,,LA,,173,,2
Maine,,Northeast,,ME,,60,,0
Maryland,,South,,MD,,148,,3
Massachusetts,,Northeast,,MA,,261,,12
Michigan,,Midwest,,MI,,302.009,,17
Minnesota,,Midwest,,MN,,169,,19
Mississippi,,South,,MS,,69,,0
Missouri,,Midwest,,MO,,242,,11
Montana,,West,,MT,,54,,0
Nebraska,,Midwest,,NE,,68,,4
Nevada,,West,,NV,,77,,3
New Hampshire,,Northeast,,NH,,43,,0
New Jersey,,Northeast,,NJ,,207,,22
New Mexico,,West,,NM,,61,,0
New York,,Northeast,,NY,,632,,58
North Carolina,,South,,NC,,188,,11
North Dakota,,Midwest,,ND,,30,,0
Ohio,,Midwest,,OH,,386,,25
Oklahoma,,South,,OK,,158,,5
Oregon,,West,,OR,,125,,2.5
Pennsylvania,,Northeast,,PA,,544,,20
Rhode Island,,Northeast,,RI,,37,,4
South Carolina,,South,,SC,,97,,0
South Dakota,,Midwest,,SD,,33,,0
Tennessee,,South,,TN,,191,,12
Texas,,South,,TX,,506,,48
Utah,,West,,UT,,60,,0
Vermont,,Northeast,,VT,,32,,-6
Virginia,,South,,VA,,222,,21
Washington,,West,,WA,,164,,11
West Viriginia,,South,,WV,,99,,0
Wisconsin,,Midwest,,WI,,132,,9
Wyoming,,West,,WY,,17,,0
